Sikayet,Kaynak
"Extremely disappointing experience. . Extremely disappointing experience.
Purchased two KVITTERA serving stands and discovered a serious safety issue once assembled – screws cut into the glass causing indentations and glass shards, and the stand is unstable to carry. When trying to return the item, staff were rude and dismissive, and both a staff member and manager refused a refund simply because it had been used, then walked away mid-conversation. Very poor customer service, especially when reporting a potentially unsafe product. Not what I expect from IKEA.",Trustpilot_USA
"This company is pure garbage . This company is pure garbage. You can tell everything about a company from their website. The IKEA website shoves a main page huge video down your throat with erratic zooms thats completely dizzying. then when you move your mouse every square cm of the site has some hover link where it opens up some popup, you cant even look at the info on the page because its so intrusive. are we sure IKEA doesnt stand for IDIOTS AT WORK?",Trustpilot_USA
"Decline in Quality . Purchased 2 Ikea drawers and 2 shelving units in 2014 and recently purchased another 2 sets of drawers in 2026.
The difference in quality is very noticeable with the new drawers wobbling when pushed lightly due to the quality of the fastners used now, and the surface is easily damaged.
Based on that I probably would not buy any more furniture from Ikea",Trustpilot_USA
"Excellent value for money . IKEA offers excellent value for money and without question one of the best return policies available. This makes shopping feel safe and hassle-free, even when plans change. The product range is huge, with many well-designed and practical solutions for every room in the home, along with plenty of customization options to fit different needs and budgets.

Delivery times are generally short, and I really appreciate that most products are consistently available at my nearest warehouse. This makes both planning and last-minute purchases much easier.

The showrooms are very inspirational and help turn ideas into real solutions, especially when renovating or furnishing larger spaces. The website is also well designed and easy to use, with good planning tools and plenty of inspiration that make it simple to prepare before visiting the store.

Overall, IKEA provides a reliable, efficient, and customer-friendly shopping experience. From product selection to availability, returns, and inspiration, they consistently deliver a high standard.",Trustpilot_USA
"Great service . Great service, the delivery was a day late, but the product was as promised and in good condition",Trustpilot_USA
"IKEA really needs to dump bring. . The product is good. Their delivery sucks. Delays, rescheduling etc. No surprise since they deliver via Bring in Sweden, the ubereats of logistics. I see that as ikea going cheap on delivery, giving no alternative to Bring and showing contempt for its customers.",Trustpilot_USA
"Perfect pillow . I have got their ergonomic pillow with memory foam, and I don't use any other. It travels with me all the time, as I cannot be without it.",Trustpilot_USA
"Parking is great . Parking is great! There is so many spaces along with plenty disabled spaces allowing everyone to have efficient access to the shop. It’s very helpful.

Emma",Trustpilot_USA
"Great experience . Great experience, Delivered on time and good service.",Trustpilot_USA
"Terrible delivery/collection service . This evening I drove from my home in Reading to a Tesco store in High Wycombe – a distance of 18 miles in rush hour traffic as my Ikea pick up appointment was between 5pm and 7pm. I got there at 6.25 pm and the collection point was supposedly in the car park but there was no sign of an Ikea lorry or van.
I received a text from Ikea at 6.34pm to say that my delivery was cancelled even though this was 25 minutes before the latest time that I could collect!!!
Obviously the driver could not be bothered to wait until 7pm and he/she should be disciplined as this has cost me 3 hours of my life and I have incurred the costs of travel without receiving my item.
This is disgusting service from such a large company and since then I have looked at their reviews and it’s a very bad picture. The sad thing is that they don’t care at all.",Trustpilot_USA
"Delivery timeline disgustingly wrong . Said they'd start shipping my package out by december 3rd, they started on January 25th. Missed the date I needed it by.",Trustpilot_USA
"Was about to place an order for 4… . Was about to place an order for 4 dressers on sale, when the prices went up. Apparently they go by Eastern time zone,even though I'm in central. I'll get my dressers elsewhere. NO site does this!! They ALL end in your time zone or 12 PACIFIC time. Will never shop at IKEA again. I had a $2500 order too but will get every single thing elsewhere.",Trustpilot_USA
"Multiple delivery failures from IKEA Tempe Australia. No customer service. Compensation sought and no reply. . Multiple delivery failures from IKEA Tempe NSW Australia. They gave a 6 hours delivery window each time. No calls and no deliveries. You ring the store or log in for online chat, you are kept waiting without response for an indefinitely long time. Auto msg ‘we are busier than usual and waiting times are long’ kept repeating every 15 minutes. No response at all even after waiting 1.5 hours on the online chat.No compensation to customer for inconvenience. Meanwhile, they have happily debited $3300.00 for the order and offered a ‘Couldn’t care less customer service’. You cancel the order and again they make you wait a long time again for your refund. Simply disrespectful of customers. IKEA does not live up to its business and corporate ethos. Stay away from them.",Trustpilot_USA
Rearranging online delivery was… . Rearranging online delivery was extremely easy love the item great price,Trustpilot_USA
"The frame in my wardrobe is literally… . The frame in my wardrobe is literally crumbling and the door has fallen off. Ikea should be ashamed of the quality of their products, and the can't do attitude. I'm disgusted and embarrassed that I have spent thousands over time, invested in this organisation and felt assured that when a product failed they would help, only to find the reverse is true. Shame on you Ikea!!!",Trustpilot_USA
"Cancelled order without valid reason . I have ordered from Ikea online and decided to be delivered to a pick up point (it's a 2 hour slot and i thought it was convenient). Yesterday i had a phone call from the driver saying that the van is broken and the order was delayed so it will arrive later on. After some time, i have received a text saying that my order was cancelled (without any reason). Later on, an e-mail saying i didn't pick up my parcel on time and i have missed it !!! (Couldn't believe my eyes)
I have contacted the customer service and they said the order was cancelled internally and she doesn't know the reason (i bet she didn't). They offered a refund or home delivery (in the next 7 days, but not in the next 48 hours as theh don't have enough staff) but the home delivery would be a 4 hour slot (to bare in mind that sometimes could be delayed).
I have chosen refund and now i need to wait 14 days to have my money back and i have lost a full day of work (i took a day off on Saturday to be able to install everything by Sunday when the guests are coming). Now i have nothing: no money back yet, no products.
On top of that, the customer service will write that they were kind to offer a free delivery but i have refused it
Horrible !!!",Trustpilot_USA
"A good store with plenty of choice and… . A good store with plenty of choice and the cafe is a must go to for lunch whilst shopping. The only downside, why do I have to follow your path around the store and not go directly to the area I'm interested in?",Trustpilot_USA
"Great suport during our kitchen order . Great suport during our kitchen order - the team was very helpful and guided us through the entire layout to avoid mistakes. This is my second IKEA kitchen, and the experience was smooth again",Trustpilot_USA
This freaking ass place does not know… . This freaking ass place does not know how to freaking measure I said I need 200x90cm on the bedroom plate thing I don’t know what it’s called in English it was 190 cm by 83.5 cm which is some freaking bullshit I’m never buying something from here again and if this happens again I’m suing,Trustpilot_USA
"Perfect quality and price . Perfect quality and price
Love my desk",Trustpilot_USA
"DO NOT WORK FOR IKEA . DO NOT WORK FOR IKEA! THEY LIE TO GET YOU INTERESTED, AND THEN YOU FIND OUT EXACTLY WHAT ITS ABOUT. ITS A CULT. No training, 3 days were spent doing nothing but getting schooled on the founder and “IKEA TRADITIONS”. They literally give you an 80+page book called “The Testament of IKEA”.
Not one word about the job. It’s all brainwashing nonsense.
They literally call customers “outsiders”.
Stay FAR away from them.",Trustpilot_USA
"DO NOT BUY IKEA KITCHEN APPLIANCES!! . DO NOT BUY IKEA KITCHEN APPLIANCES!!

1. They are overpriced.
2. They are poor quality.
3. Their customer service is woeful.

We paid £1000 for and integrated KÖLDGRADER fridge freezer and £500 for an integrated RENOLAD dishwasher in 2022. The freezer drawers all cracked and broke within a few months, the fridge drawer a shelf parts started cracking and breaking after a year. The plastics they use are not fit for purpose and the design is left wanting, v poor engineering. The fridge collects water in the base and pees it on our wooden floor if not regularly emptied. The dishwasher is now not working having had an intermittent fault for a few weeks. Both are under warranty, but trying to get hold of IKEA customer services is like finding hen’s teeth, IMPOSSIBLE! I have repeatedly phoned them and been given wait times of 45 minutes to an hour, but never actually got through to anyone, always getting cut off, one time waiting 40minutes and then getting cut off. May be one of the most successful companies in the world, but they don’t give a monkey’s about their customers.",Trustpilot_USA
"SCAM AT RETURNS DEPARTMENT . SCAM AT RETURNS DEPARTMENT IKEA

Terrible experience – IKEA Bangalore Returns is unethical
IKEA Bangalore’s returns department is a complete scam. I ordered a wardrobe for 4th February, but they delivered it early on 18th January without my consent or knowledge. I paid ₹2,32,000 in cash, and now they refuse to return it the same way, insisting only on a bank transfer and endlessly delaying the refund.
The returns staff, including Rahul Sinha and a female staff member, were extremely rude, abusive, and harassing. I was made to feel humiliated and treated as if my money was being held to ransom. This behaviour is unacceptable, unethical, and deeply unprofessional.
I live in the UK and have shopped at IKEA in London and other parts of the UK many times—the service there is excellent. IKEA Bangalore, however, is one of the worst customer experiences I’ve ever had.
Never again will I visit IKEA Bangalore. Avoid their returns department at all costs.",Trustpilot_USA
"Very poor customer service and no clear answers . Very poor customer service and no clear answers

I contacted IKEA Morocco several times via WhatsApp just to ask **a simple question**:
whether my address in **Zaouiat Sidi Abdelkader (Al Hoceima – road P5207)** is eligible for delivery before placing an order.

Instead of answering clearly, I was:

* transferred between agents
* asked to call different numbers
* told to place an order without confirming delivery
* ignored or given copied/pasted replies
* answered in different languages without understanding my question

I repeated the same question many times and never received a clear **yes or no**.
The agents did not seem to understand the issue and kept redirecting me instead of helping.

Very disappointing experience for a brand like IKEA.
If customer support cannot answer a simple delivery question, how can we trust the service?

❌ Not professional
❌ No clear communication
❌ Waste of time

I hope IKEA Morocco improves its customer support and trains agents better.",Trustpilot_USA
"I’ve generally had good experiences… . Writing on behalf of my partner

I’ve generally had good experiences with IKEA over the years, which is why this has genuinely surprised me.

On 3 Jan 2026 I collected order 1572117350. The click & collect car park gates were locked, so I had to park around 250m away and carry three ~30kg parcels multiple trips to my car. I sustained a physical injury as a direct result and it is ongoing.

I raised a formal complaint and was given Case ID 509 095 42. Since then I’ve chased repeatedly by phone and spent a disproportionate amount of time just trying to get basic information. I only discovered by calling that my complaint had been opened in the wrong department, leaving it idle for 10+ days.

I’m now far less surprised to see how poor IKEA’s customer service reviews are online - my experience suggests there’s very limited ownership or care once something goes wrong.
I’m still waiting for a named case owner, confirmation of what’s been investigated, and a proper resolution. I will update this review in two weeks if IKEA responds and resolves the issue.",Trustpilot_USA
"DO NOT BUY AN IKEA/WHIRLPOOL DISHWASHER!! . DO NOT BUY AN IKEA DISHWASHER!!! THEY LEAK AFTER 3 MONTHS AND DO NOT CLEAN. The dishwasher gets clogged by the smallest particles. We have tried all type of soaps hot water cold water soft water and hard water. The dishwasher arms are impossible to clean and look as tho they were meant to be disposable. Its a shame whirlpool partnered up with Ikea it will impact there name as well. The dishwasher will also run for 4 hrs. Id much rather a less""efficient"" dishwasher that actual cleans. The cheese paper like filter catches food and sprays it back into the dishes gluing the particles on causing you to scrub your dishes harder than you would have if you just washed them by hand. I tried running the dishwasher without the filter to allow food particles do get flushed down the drain. This did not change a thing. I customized the arms by drilling larger holes to allow a larger stream and to allow food to pas through. This worked well dishes actually came out clean however it wasn't long until the film came back. I think the dishwasher does not use enough water to try and be more ""eco"" friendly thus causing dishes to have soap and food residue left on. Can't believe we let companies get away with this type of thing. Quality used to matter now not so much. The dishwasher is also starting to rust and a few posts broke off on the top rack at 1 year old!!! Disgusting $800 for more work DO NOT BUY THERE PRODUCTS.",Trustpilot_USA
"POOR QUALITY . I purchased wardrobes and a separate set of double drawers that were delivered on Wednesday 14/01. After assembling them I am extremely disappointed with the poor quality. The drawers do not close the same, there are gaps where the drawers close and the drawers are not aligned in a straight line. A total waste of time and money. I will never shop at IKEA ever again.",Trustpilot_USA
"I purchased a light fitting from IKEA . I purchased a light fitting from IKEA, only to discover when I came to install it that a ceiling hook was required but not included. This was not made clear at the point of purchase, and the hook was not displayed anywhere near the product. I later found out it’s sold separately for just 50p, which made the situation even more frustrating.

Because of this, I had no choice but to make a second trip to the store on a busy Saturday. Between traffic, parking, navigating the store, and queuing, it took two hours just to buy a 50p bracket. This inconvenience could easily have been avoided with clearer information or better product pairing.

When I contacted customer services to raise the issue, the experience was just as disappointing. I was met with an extremely argumentative response and told that many homes already have a ceiling hook, so IKEA sees no reason to include one. That completely misses the point — if a product cannot be installed without an additional part, customers should be clearly told before they buy it.

What makes this worse is that reviews of the hook going back several years show this is not a new issue, yet nothing appears to have been done to improve the customer experience.

For a company known for good design and customer focus, this was a genuinely poor experience. A simple warning at checkout or automatic prompt to buy the hook would prevent a lot of frustration. As it stands, this feels careless and unacceptable.",Trustpilot_USA
"A truly dreadful experience . What a truly dreadful experience. Such a shame. I ordered multiple storage containers. They couldn't be delivered to my home address for some reason. So I had to request delivery to a storage location some distance from me as Ikea the store is triple that distance from me. The delivery email said it would be from 10 to 12pm in a weeks time. Turns out I had to actually BE there and pick up from a vehicle. I've never heard of such a way of pickup.

The driver on the phone was friendly, said it happened many times but that he had to leave as I would be 5 minutes past the slot if I rushed over immediately. But he also explained that the delivery would likely be back the next day as he'd told ikea of the issue.

Within 1 minute of the call I received notification my order was cancelled and that I'd get a refund!!

I tried to resolve the situation online but there were no contact methods. So I requested a new order of the same items. However half the items were then not available!

Such a frustrating and stupid way to do business. Why on earth couldn't I simply reschedule! After all I was paying for delivery both times. I'm not impressed at all. What an unprofessional, obtuse way to do delivery.",Trustpilot_USA
Great product as always . Great product as always. You can’t beat the price and quality.,Trustpilot_USA
"Panel missing on expensive unit , zero compensation offered . I've just spent 350 quid on an IKEA unit (after already finding their stock in ballymun was messed up and waiting weeks for it to come back) and spent the last hour pulling apart multiple boxes of items only to discover they've failed to give me one of the main panels.

After a long wait for customer service all I get back is, we'll deliver it in a week. Not even the piece, I have to take the thing apart, find the piece, and wait for them to come back to collect it. Zero refund for delivery or offer of any kind in compensation.",Trustpilot_USA
"Unnecessary journey, incorrect information, and dismissive customer service . I’ve been a regular IKEA customer for years, but this experience has been extremely disappointing.

In early January I placed a Click & Collect order at the Lakeside branch after IKEA confirmed the items were ready for collection. This was the only reason I travelled there instead of my local store.

When I arrived, the items were not there. The receipt even had a handwritten note saying they were out of stock.

This meant I made a completely unnecessary journey, including crossing the Dartford Tunnel, costing me money and time – all due to incorrect information provided by IKEA.

I contacted customer services by phone (30+ minute wait) and live chat (45+ minute wait). I was initially told the toll costs would be refunded, but this never happened.

Instead, IKEA later offered a £10 e-voucher as a “goodwill gesture” (not cash), and stated they do not compensate travel costs. When I declined, they warned the voucher could be withdrawn.

At no point did anyone properly acknowledge that the journey happened because IKEA’s system said the order was ready when it wasn’t.

Mistakes happen – but the handling of this was poor:

Incorrect stock information

Wasted journey

Long waits to speak to anyone

Broken promises

Dismissive tone when raising a formal complaint

I expected far better from a company of this size.",Trustpilot_USA
Easy shopping experience good quality… . Easy shopping experience good quality for the price and delivery went smoothly. Verry satisfied overall.,Trustpilot_USA
"Assembly with Taskrabbit is not guaranteed . I ordered a piece of furniture (wardrobe) that required a complicated assembly. Assembling myself was not option. I ordered it because it came with an option to pay for the assembly service, which I selected. In the order confirmation it said that my assembly was scheduled for the day that was 2 days after my delivery date, and no actions were required.
That day came and went, but no body showed up. I called Ikia and they said I need to contact Taskrabbit who is supposed to handle all their assembly tasks.
Taskrabbit said they were unable to find a tasker for that day and they will notify me when they have someone. Their system is very misleading, because it kept saying I have a task scheduled for a certain date, but in fact it never was. And then they kept sending me messages, but when you click on the link you get a 404 error. So I had to keep calling them and they kept telling they still have no tasker. Ikia seemed to be pretty disconnected from Taskrabbit, because in their system it said the task was scheduled with someone.
Basically the end results was after spending hours on multiple phone calls with Taskrabbit and Ikia for the following 10 days (mostly trying to reach a person to talk to or being on hold), I returned the order.
It does seem like Taskrabbit was the source of most of my pain. However Ikia did not communicate that the assembly is not guaranteed. If I knew I would have never placed that order.
And now as a result I will never order anything from Ikia again",Trustpilot_USA
"Uneatable cinnamon buns . Don't buy the doughie, not cooked cinnamon buns, they are horrible. As well as the self service station was dirty and not maintained, a real let down.",Trustpilot_USA
Time wasters. Can't deliver. . Notified twice about a delivery but never turned up or notified that the delivery was cancelled. After the first delivery failure they cancelled the order then later confirmed a further delivery date which was confusing. Time wasters.,Trustpilot_USA
"⭐ Very Dissatisfied with IKEA Customer… . ⭐ Very Dissatisfied with IKEA Customer & Delivery Service
I am extremely dissatisfied with IKEA’s customer service and delivery process.
I ordered a wardrobe on 02/01/26, with the initial delivery scheduled for 09/01. On the delivery day, the app showed “order on the way”, so I took an unpaid day off work to wait at home. Nothing arrived. After 7pm, I finally received a message saying that the delivery had failed, with no explanation.
The next day I contacted customer service. The representative had no idea what had happened, could not locate the order, and offered no clear information. She re-arranged the delivery for 18/01, but shortly after, I received an email asking me to pay again, even though the order was already fully paid on 02/01/26.
A few days later, I received yet another email changing the delivery date to 20/01, again requesting payment for an order that was already paid for.
This whole experience has been extremely disorganised, frustrating, and unprofessional. IKEA has now delayed delivery until 20/01, claiming they do not have the capacity, despite this being entirely their fault. I lost time, money, and confidence in a company I expected better from.
Very disappointing service overall.",Trustpilot_USA
"I was supposed to get a delivery on… . I was supposed to get a delivery on Sunday 11 January. I was told it would be between
2 to 6pm I waited until 5 then phoned and was told it was on the way.Also around five
I could track it and I saw it was Cambridge an hour away I phone again and was told it was still on its way.I waited and waited and finally it was 5 minutes away on the map and then to my shock the truck turned around and went back to Cambridge I was told they do not deliver after seven. I now have to wait until next Sunday
This is not acceptable as I wanted to
Move into my new home today. I now have to stay with family for a week",Trustpilot_USA
"Poor client service experience . I spent considerable time designing an IKEA sliding door system online, lowering my ceiling to accommodate it using the dimensions provided by IKEA. After everything was constructed, I discovered that the sliding doors were too short.

Because my contractor was already on site, we had no choice but to create an expensive, bespoke workaround to make the system fit. When I contacted IKEA, they refused to take any responsibility, despite me providing extensive evidence across multiple emails showing that the issue was with the doors themselves.

As a result, I wasted significant additional time, money, and materials just to make this work. Customer service was extremely poor throughout the process—it took over 30 emails to reach a “resolution,” which was IKEA accepting no liability and offering no refund.",Trustpilot_USA
Disastrous customer service and delivery . Every time I try to use Ikea it is a disaster. I ordered a mattress. I just got a message that the company tried to deliver it yesterday but they had sent no advance notification so I had no way of knowing it was about to be delivered. When I tried to rearrange delivery it said I had to organise a collection which is ridiculous. I sent an email to Ikea customer services. It bounced. I tried to get a human via chat and it says waiting times are over half an hour. It is the worst customer service.,Trustpilot_USA
"RUDE CUSTOMER SERVICE . I went to Ikea to return some items that were in the package with Ikea label on it and they I had to wait for 20 minutes to speak with the representative… who did not accept the return without the receipt.

5 minutes later i found the receipt and returned to the same line and told Alejandro the Ikea employee that I had found the receipt and he made me wait all over again for 20 minutes in the line.

Alejandro was really rude!!!
Ikea should not hire people with no empathy and no respect for 2 seniors of 70 years old in line twice no empathy no smile super rude
Horrible to deal with people",Trustpilot_USA
"Worst customer service ever!! . I ordered a bed and mattress for my son as a birthday present. We placed the order well in advance to make sure it would arrive in time for his birthday. Both my husband and I stayed home from work to receive the items. On the day of the delivery, the mattress was missing from the order. I called IKEA and was told ""it had been removed from the order"" by someone at IKEA and that a new delivery would have to be scheduled but that it could not be arranged for another week (so arriving AFTER my son's birthday). Additionally, I was not told I would have to reenter my payment information, so the redelivery of the mattress was cancelled later that evening without my knowledge.

We decided we would give our son the bed on his birthday and use his old mattress until a new mattress arrived. On his birthday, we began to assemble the bed only to discover that an ENTIRE BOX was missing (we had disassembled his old bed at this point). I called IKEA immediately the next day, and, at first, they could not explain why I received only 2/3 of the bed (they proposed that ""it might have been left at another location"" or ""it was a mistake at the warehouse""). They scheduled a redelivery of the missing box for what they told me was a full week later. At this point, after I expressed my dissatisfaction at the situation, I was offered a 300 kr IKEA gift card as compensation for the inconvenience.

When I later checked the confirmation email, however, I saw it was actually for a month later!! I called back yet again and was told that actually the bed was out of stock, and I wouldn't be able to get it EVER. Also, I would have to stay home from work yet another full day so that they could pick up the 2/3 of the bed before I could get my money back. I called again to confirm the pickup time and to confirm that I would also be refunded for the delivery fee, given we had received neither the bed nor the mattress. I was told that I could not be refunded for the delivery!!!! We pressed IKEA to explain the logic of this decision, but we were only told that the representative had talked to her colleague (presumably the person who handled the original case) and that this decision was final.

It should be obvious that we should not be required to pay for delivery of items that, through no fault of our own, we NEVER RECEIVED!

The level of disorganization and incompetence throughout this process has been shocking. Why would IKEA send 2/3 of a bed if the bed was out of stock? Why was the mattress removed from the order? Why were we further inconvenienced by having to schedule a pickup and stay home from work yet again when it was clearly IKEA's mistake? Why charge us (and refuse to refund us) for the delivery of a mattress and bed that we NEVER received!? As a result of this situation, we are without a bed and birthday present, out 349 kr in delivery fees, have spent hours on the phone with IKEA, and my son is sleeping on an air mattress for the foreseeable future :(

Throughout the process, the customer service we received was, at best, indifferent and, at times, blatantly rude.",Trustpilot_USA
"IKEA and Markus chair . IKEA has always been a stable and reliable brand for me. I appreciate their functional design, good pricing, and the fact that you can get the same experience in different countries. One product I truly love is the MARKUS office chair — it’s honestly one of the best chairs for developers and long hours at the computer. I’ve bought it in every new country I moved to, which says a lot.

However, I do feel that the overall quality has declined over the years. Earlier MARKUS chairs felt more durable and held up better over time, while the newer ones seem to wear out faster. Still a brand I like, but the consistency is not the same as before.",Trustpilot_USA
"IKEA online is a joke . IKEA online is a joke. They push all responsibility back onto the customer, refuse to follow anything that would be considered normal and decent procedure by a company. It's basically a scam. Don't bother to order online go straight to the store. IKEA won't deliver your items, or take your money and refuse to come up with a solution. Good luck if you try. But look at the other reviews here. Just don't.",Trustpilot_USA
"Homophobic discrimination and aggressive behavior by security . I am writing this negative review regarding a homophobic security guard at IKEA on Oxford Street (214 Oxford St, London W1C 1DA). Today, Jan 9, 2026, around 7:00 PM, I visited the store to shop. Initially, I was simply filming for myself. However, a security guard approached me and rudely began prohibiting me from using my phone.
He was very hostile and spoke in a loud, confrontational voice, trying to convince me I wasn't allowed to film. Because of his aggressive behavior, I continued filming him directly for my own safety to document the incident. He kept insistently repeating that I ""had no right"" to film him and must turn my phone off, while he was simultaneously recording me with his Body-Worn Camera (BWC).
I demanded a manager, but he flatly refused. Another woman approached (not a manager) and also tried to stop me. I told her that this guard clearly has homophobic tendencies because another female customer was filming at the same time, yet he didn't say a word to her. He targeted only me.
This is direct discrimination and homophobia. IKEA claims to support the LGBTQ+ community, yet they employ staff with such biased attitudes. I left without buying anything. I have a continuous video recording of the entire conflict. IKEA, I expect an investigation into this guard's conduct.",Trustpilot_USA
"Never Delivered, Ai Slop Service 0 Stars . Ordered 2 mobels for christmas, now 8 January NOTHING HAS ARRIVED ! Called IKEA Service almost everyday, have 30+ minute sof Waiting time NOBODY ANSWERS !!! Sent email, NOBODY ANSWERS ! In the app just a sloppy useless Ai ChatBot that doesn't answer anything in concrete! This company went from Reputable to The WORST ORDER OF MY LIFE !!! They also used some Private Firm for the Delivery that is nowhere to be found !!! Spent 200euros and have absolutely no idea where they have my order !!! They should have delivered at 27 December!! We were the WHOLE DAY AT HOME !!!! WHERE IS OUT ORDER??? I swear I will share our Experience with Everyone !! Horrendous service, Deserves 0 Starts !!!",Trustpilot_USA
"Great product . Great product
Love the shelf",Trustpilot_USA
"Great product for cheap price in… . Great product for cheap price in general, but :
1 - Their online customer service is really bad.
2 - Got a wardrobe were the brackets aren't aligned.. Their customer service said ""it's by design"".

Anyway, better to visit the store and read customer review, because their ikea employees weren't great so far.",Trustpilot_USA
"Deeply incompetent . No one in the store knew how to accurately create a delivery. I went from employee to employee, and department to department; profound incompetence. I will not repeat this again. if you can take it buy and out of the store then fine, if not...forgetaboutit.",Trustpilot_USA
"IKEA Dublin is must AVOID . Placed online order 5 days prior to scheduled delivery on my day off. Waiting on them from 7am to 7pm to deliver me parcel. Paid them 15e for delivery for them not to show up at all, not even call or email to say they wont show up. Btw.. i literally live 2 blocks away from them. Complete disaster of service. From now on im taking my business elsewhere.",Trustpilot_USA
"Wrong product received and useless customer service . I have boutgh a wardrobe and asked to be delivered to my address. The item was on sale, but when I received the item, it was completely different from what I ordered, and most of the item was missing. When I called the customer service, they told me the invoice is the same as what you received. They did not address my problem, which was that the wardrobe was on sale, but the invoice was still full price. Practically, they scammed me and told me they could do nothing.the invoice has been done by their staff.",Trustpilot_USA
"Painful customer service . As others have said, individual customer service reps on the phone are usually friendly, but the whole customer service process is chaos and it seems after sales policies aren’t even understood by staff.
We bought a kitchen from Ikea, looks great, but the appliances started to fail and that’s where the problems started. When calling the wait times are ridiculous, and we kept getting passed between Ikea and the manufacturer - it’s complex and frustrating and we’ve waited weeks for repairs only to then be told we’d have to pay for them ourselves.
My advice would be don’t buy any appliances from Ikea! The warranty isn’t worth the painful process. I’ve lost faith in the brand completely.",Trustpilot_USA
"Forget your online order . Ordered a tabletop and a few accessories on the 26th of November, fast forward to 5th of January, nothing happened so far. Obviously the order is already paid. They do not have online chat, they do not pick up the phone (several calls, 30+ minutes of waiting). They only have a complaint form which is rather hard to find, I just sent the second one, but the first one required 2 weeks for them to answer. They have a cancel order button online at least, no idea how much time would that take them to handle. It is not a big order or anything special, but 5 weeks without anything happening for such a big brand? Ridiculous. Most likely the last time I tried to order from them anything.",Trustpilot_USA
