Yazar,Tarih,Baslik,Sikayet,Kaynak
stella,18.12.2002 07:11 ~ 10.06.2003 00:14,IKEA Genel,"bu populerlikle yakinda her 20somethingin evini birbirinin aynisi kilacak, insanin evinin carsafindan, bitkisine, caydanligindan, yatagina herseyini bir kerede alabilecegi, genelde buyuk sehirlerin banliyolerinde ikamet eden, ev esyalari magaza zinciri. oyle ciddi bir kavram haline gelmistir ki bu ikea'dan ev dosemek, kulturumuze ""to ikea out"": evini bastan sonra ikea'dan dosemek adli kavrami bile getirmistir*.

ne de olsa evinin her parcasini oradan buradan tamamlamaya zamani yoktur 20something gencinin* , ikea da her butceye, her zevke hitap eden, hic bir sivriligi olmayan, fakat bu yuzden hic bir ozelligi de bulunmayan, pek bir el isciligi olmayan mallar diyaridir, kolay bir ali$veri$ olacaktir suphesiz ikea'da yapilan ali$veri$, gonuller rahat eve gelinip hersey yerlestirilecektir. tamam el isciligi yok diyoruz amma, belki de minimalisttir o yuzden el isciligi yoktur demeye calissak da, olacak kadar cesur da degildir ikea, orta yoldan gider, hatta hayatta odasina yaratici olarak hic bir sey yapamayacak genclerimiz icin, hazir ""orta guzellikte siyah beyaz"" resimleri her zevke hitap edecek cercevelerde de satar. oh ne guzeldir, aksesuarlari bile hazirdir evimizin, minimum zaman ve dusunce ve para harcanmistir, ve evimiz ayni ikea katalogunda gorup begendigimiz ev gibi olmustur.

bu felsefeye ""to choose one's life from a catalog"" denir genelde, amerikalilarin cok sempati duydugu bir felsefedir, daha derin anlamda insanlarin hayatta sandalyelerinden en buyuk hayallerine kadar varan herseyi onceden baskalari tarafindan hazirlanip ""guzel gibi"" gosterilen, tasdikli kataloglardan secmeye denir. ikea da boyle bir olayin bir parcasidir iste",Ekşi Sözlük
cdm,18.12.2002 07:54,IKEA Genel,"ivir zivir center. gecen gun ikea'dan aldiklarim; pil, cibinlik, bas ucu lambasi, ampul, paspas, civi, dugme, mum, kadeh (super buyuk), ne idugu belirsiz plajdan toplanmis gibi gorunen taslar*, cam servis tabagi, ve pelus ayi. iste boyle.",Ekşi Sözlük
celikmetre,27.12.2002 18:04 ~ 18:05,IKEA Genel,"new haven da, marcel breuer'in pirelli binasini neredeyse yikmakta, ve yerine kutu seklindeki generic depolarindan birini kondurmakta olan dombili sirket. boylece unboring reklamini kendilerinin de hayata gecirdigini goruyoruz. sehir meclisi tarafindan kendilerine bu kadar isvec aksanli design diyeceginize, hadi bakalim burayi tasarim muzesi yapin da gorelim tasarimsal dertlerinizi denmistir. ilgiyle izliyoruz, new haven'in gozlerinden opuyoruz.",Ekşi Sözlük
wpi,30.12.2002 18:42,IKEA Genel,"bazi magazalarinda cocuk bahcesi olan mobilya zinciri. ailecek gidersiniz, kucuk cocuklari cocuk bahcesine emanet eder, rahatca gezersiniz.",Ekşi Sözlük
tarator,12.02.2003 15:25,IKEA Genel,bir aile şirketi olan ve bu nedenle de mali tablolarını hiç bir zaman açıklamayan şirket,Ekşi Sözlük
morkiratli,12.02.2003 15:54,IKEA Genel,ankara'da ofisi var - o zaman turkiye'de imalat var herhalde - satis olmaz cunku ikea'nin ilk prensip ucuzluktur ve turkiyede yetkililerin ekmegine yag surmekden sonra ucuzluk imkansiz (bkz: ithalat),Ekşi Sözlük
siamese,18.04.2003 20:34,IKEA Genel,akillara zarar ama butceye zarar olmayan super modern ve guzel dekorasyon ve ev e$yasi magazasi.,Ekşi Sözlük
fengari,26.05.2003 19:00 ~ 19:29,IKEA Genel,"isvec'te tekel gibilerdir,mobilya alınacaksa ikea'dan baska bir yere gidilmez.gidersiniz koskoca ranzayı iki kisi elinizde tasıyacak sekle sokup verirler size.",Ekşi Sözlük
zeenogr delorange,26.05.2003 19:11 ~ 15.08.2004 05:12,IKEA Genel,"her ne kadar bazi gazete ilansal kaynakli soylentiler dolansa da turkiye'de yakin gelecekte şubesinin açılacağını zannetmedigim ama satacagi urunlerin cogunu baska ulkelerden topladigi icin bir cok ulke gibi turkiye'de de ofisi bulunan magazalar zinciri. hatta turkiye'den devsirilen urunlerinden biri de, uzerinde at figuru oldugunu hatirladigim melamin bir tepsi modeli...

a bu arada;
bunun herhangi bir ulkedeki herhangi bir subesine gidip de restoraninda recelli kofte patates yemeyen bizden degildir.

edit: franchise yontemiyle genisleyen bir yapisi varmis bunun. yani o da ne? siz de acabilirsiniz?!.",Ekşi Sözlük
kediaman,15.06.2003 23:03,IKEA Genel,"her gidisimde bana kafayi yedirten, yilda bir gun, dunyadaki tum magazalarinin karini calisanlarina birakan, gunu haftalar onceden ilan eden, sorumlu, bilincli tuketiciyi o gun magazaya cekmeyi beceren pek bir guzel kocaman mekan... acayip guzel tasarimli kucuk mutfak aletleri var, cirpici ya da sarmisak ezici gibi",Ekşi Sözlük
nemesis,15.06.2003 23:07,IKEA Genel,gagda surekli reklamlarını gordugum firma.,Ekşi Sözlük
dirk pitt,15.06.2003 23:30,IKEA Genel,almanyada şehir dışında devasa mağazaları bulunan mobilya firması.,Ekşi Sözlük
huger,24.07.2003 20:46,IKEA Genel,"yillar once isvec'i ziyaretimde bana haftasonlari cok kalabalik olur rahat gezemessin, en iyisi haftaici git dedikleri, kalabaligi merak edip haftasonu gittigim ve tabi gitmeden once de istanbul'daki alisveris merkezlerinin yogunlugunu aklima getirdigim, fakat iceri girdigimde ""eh iste isvec'in kalabaligi da ancak bu kadar olur"" dememe sebebiyet vermis yapi market.",Ekşi Sözlük
bagel and waffle,26.07.2003 05:08,IKEA Genel,"kanada serisi için.
http://www.ikea.ca/",Ekşi Sözlük
dev,26.07.2003 05:11,IKEA Genel,(bkz: deliver me from swedish furniture),Ekşi Sözlük
bagel and waffle,03.09.2003 04:24,IKEA Genel,(bkz: fly),Ekşi Sözlük
cheja,13.09.2003 17:17,IKEA Genel,"20 something'lerin hayatini farkli ulkelerde de yasasalar ele gecirdigi, birbirine benzettigi dogru ikea'nin. oncelikle, epey cesidi olmasina ragmen, genelde urunler birbirleriyle degisimli olarak kullanilabilsin diye modelleri ikea manyagi degilseniz, ve ""hayir hayir sizin sandalyeler farkli bizimkiler stefan, iki ayak arasinda fazladan bir baglanti yeri daha var"" gibi laflar sarfedecek uzmanliginiz yoksa; birbirine hayli benzemektedir. ikea renklerini de bizim ""iskandinav ekolu"" dedigimiz tonlardan secer, evini ikea'dan dosemis birisi kendini rahatlikla stockholm, oslo, kopenhag ucgeninde zannedebilir. bunun disinda ikea ucretini dusuk tutabilmek icin, ki en azindan amerika icin soyleyebilirim: alternatifsiz derecede ucuzdur, meger ki ikea'dan alinmis malzeme fiyati en ucuzcusundan bir baska amerikan mobilyacisinda harcansa butun eve alinan esya fiyatina ancak bir yatak ya da oturmaya daha cok onem veriyorsaniz sadece bir koltuk alinabilir orandadir. sozkonusu fiyatlari boylesine ucuz tutabilmesi elbette ikea'nin ""butun magazayi dolasin kendiniz secin, sonra cikista da 1.5 saat banklarda oturarak bekleyin kutularinizi teslim alin, oradan arabaya tasiyin, simdi biz size bunlar icin yardim etsek en az %50 daha pahali olurduk"" yaklasimindandir. eve geldiginizde de sizi yepyeni bir eglence beklemektedir, yapmis olanlar bilecektir, ikea'nin o kendine ozgu dondurgec'i ile hayvan gibi yataklar, koskoca calisma masalari, sandalyeler, kitaplik, televizyon sehpasi gibi urunler lego anlayisi ile yapilir. eger butun urunlerinizi bir gunde bitirmeye kararliysaniz ellerinizin su toplayacaginin ve daha da onemlisi hayata dondurulen 6 koseli delikli vidalar ekseninde bakacacaginizin garantisini veriyorum. amerika'da yasayanlariniz icin bundan sonra sizi daha buyuk eziyetler beklemektedir: recycle! en azindan bildigim new york state (ya da belki sadece city) kurallarina gore kartonlar, kagitlar ve benzeri malzeme asagi yukari 18x24 inch gibi olculerde durulup, bukulup, katlanip, iple ya da tape ile sabitlenmis olarak sokaga birakilmalidir, bu isler ise moble imalatinizdan epeyce uzun vaktinizi almaktadir. ben kendi adima bu islemi yapmaya usenip aylarca sakladigim kutulardan haberdarim. tum bu ikea maceralarimizin sonunda ise gercek bir marangoza donusmus, en karmasik gorunen ""sorun cikarsa bizi arayin"" yazilmis urunleri guide book'una bile bakmadan maksimum 1 saat icinde insa eder hale gelmistir.

tekrar ""20 something kisilerin birbirinin aynisi evleri"" teorisine geri donersek; bunun gercekligi 1.5 senedir ayrilmis ikizler (abi-kardes) olan otisabi ve biraderlerin evlerinin, karsilikli ""aha bizim ev"" fotograf sergilemeleri sonucunda tipatip ayni esyalara sahip oldugu, farkin mavi tonlu cizgili yastik, pembe tonlu cizgili yastik otesine gecmedigi tespit edilmis bu kalp kalbe karsilik yurtta ve dis temsilciliklerde (forzheim ve new york) torenlerle kutlanmistir. mobilya seciminde soz konusu kardeslerin fazla soz sahibi olmamis olmasi ve ""tamam tamam al iste bir tanesini"" yaklasimlari ise baska bir akrabalik ihtimalini dogurur mu? haftanin sorusu bu olsun. haftanin tip'i ise su: gecen senenin sonunda uretime surulen ve bu senenin de en favori urunu - . kämpe onlarca farkli kombinasyonu ile goz dolduruyor. kimilerimizin 1 senelik kalkinma planlarinin icine aldiklari bir de ""cam raf ve o cam raflari aydinlatan, dolayisiyla evimizde muze atmosferi yaratan"" isimli lambalari da oldugunu eklemeden gecmiyorum. yasasin ikea, yasasin 6 koseli dondurgeci ve yasasin recelli kofte!",Ekşi Sözlük
vpr,13.09.2003 17:40,IKEA Genel,"sezonluk kataloglarinin evlere ulastigi dakikadan itibaren 45 dakika icinde evinizi bastan asagi nasil yenileyebileceginizi (mevsimine gore) hayal edebilmenizi saglayan, cesitli haftasonlarinizi sadece ona -alisveris ve kurgusuna- ayirmaniza yol acan ucuza dunyanizi doseme olayi.

ikea'nin urun ailesi mevsimden mevsime degistiginden ama ayni kategoride cesitliligi de sinirli tuttugundan iskandinavlardaki evlerde benzer mobilyalar, benzer tabak canaklar gormeniz olasidir; keza iskandinavlarin ev ziyareti geyiklerinin temelini de ortak olan esyalarin muhasebesi ve sezonsal ayrimlari olusturur. olaylarin tumu cok ucuz oldugundan asil sorun esyalarinizi mevsimden mevsime yenilemek degil, ortaya cikan eski atiklari nereye sokacaginiz yada kimlere nasil vereceginiz, hatta aglaya aglaya nasil atacaginizdir. ikea manyaklik haline donustugunde odanizda 3 tane aydinlatma cihazi, iki ekstra yatak, masanizin altinda ucuncu bir corap kutuphanesi ve gomme dolabin icine zulalanmis mumlar ve peceteler bulunmasi soz konusudur.",Ekşi Sözlük
vpr,13.09.2003 17:44,IKEA Genel,"ikea alisverislerinin beraber ama kurulumlarin (ozellikle etrafta turk veya muhendis sayisi fazla ise) yalniz yapilmasi farzdir. 3 yasindaki bir cocugun bile algilayabilecegi ve lego kulturunun azicik ucundan tutmus herhangi birinin yapabilecegi birlestirme veya kurulum islemleri 3 muhendisin yada 3 vatandasimizin (gene hindulardan iyiyiz, o ayri konu) ayni ortamda bulunmasi ile bir kabusa donusebilir. ayni makarna yapilma felsefesi ile dogru orantili olarak ikea kurulumlarini da sadece bir kisinin kontrolunde yapilmalidir.",Ekşi Sözlük
porta,16.01.2004 05:27,IKEA Genel,"elindeki vibratorle oynayan bebegin uzerinde yazan ""artik ortaligi toplama zamani gelmedi mi"" reklamiyla taninan magaza",Ekşi Sözlük
hainbaykus,26.01.2004 15:12,IKEA Genel,hürriyet gazetesi 'nde 2005 mayıs'ında ümraniye carrefour'un yanında bir şube açacağı haber olan şirket,Ekşi Sözlük
paramakash,26.01.2004 15:38,IKEA Genel,"öğrenci yurtlarının mobilya tedarikçisi. nyc ile kıyaslandığında vergi cenneti olan new jersey'de mağazası vardır. her dönem okulun*tuttuğu otobüse çoluk çocuk doluşup ikea mağazasına gidilir. her yurt odasının bir örnek demirbaşı olan hasır örgü çamaşır sepetleri, kitap rafları, çizim masası, kahve sehpası, ayna ve renk olsun diye alınan saksı çiçeği bagaja yüklenir. ne de olsa ilk defa gelmişsinizdir. bir ilki yaşamanın heyecanıyla, kafeteryasında bir tabak iğrenç meatball yenir. bedava olduğu için güdük boylu kurşun kalemlerden deste deste alınır. hangar büyüklüğündeki torbalarından da taşınırken lazım olur düşüncesiyle bir iki tane aşırılır. bi daha da ayak basılmaz.",Ekşi Sözlük
sink disposer,28.01.2004 04:11,IKEA Genel,"evimizde, özellikle de odamda bir sürü ürünüyle yaşadığımız çok süper, içinde saatler geçirilebilecek tükkan.",Ekşi Sözlük
simon templar,14.05.2004 16:29,IKEA Genel,"kuruculuğunu ingvar kamprad'ın yapmış olduğu isveçli mobilya markası. ikea, ikinci dünya savaşından sonra ingvar kamprad tarafından kurulmuş olup şu anda dünyanın en büyük perakende mobilya satış zinciri olan bir marka haline gelmiştir. bu kadar başarılı olmasının en önemli sebebi ise vakt-i zamanında iyi kaliteli mobilyayı önemli ölçüde düşük maliyet ve düşük fiyatla üretmenin bir yolunu bulmuş olmasıdır. mobilya pazarını hareketlendiren ve kısa zamanda dünya çapında liderliği eline geçiren bir kuruluştur bu.",Ekşi Sözlük
specialist,01.06.2004 19:00 ~ 15.09.2006 07:36,IKEA Genel,"avrupa mobilya pazarinin %30 unu kapamis,ev tekstiliyle ilgili akliniza gelebilicek herseyi bulabileceginiz firmalar zinciri.ek olarak kurucusu da dunyanin en zengin 3. kisisidir",Ekşi Sözlük
shi aila,17.06.2004 03:48,IKEA Genel,"almanca konusulan ülkelerde*** akillara ""wohnst du noch oder lebst du schon"" sloganini getirir. türkceye ""hala oturuyor musun yoksa yasamaya basladin mi?"" seklinde tercüme edilir sanirim.",Ekşi Sözlük
malloryknox,19.06.2004 09:28,IKEA Genel,"mal ithal edecekleri şirketin, iso, ekoteks, arıtma, yangın sistemleri vb. konularında vizesi onaylı belgelerini isteyen, üretim yerini kontrol eden eksik gördüğü noktada hemen satın almadan vazgeçen tüketicilerinin haklarına saygı gösteren kuruluş.",Ekşi Sözlük
aksi,27.06.2004 20:29,IKEA Genel,"amerika'da yasayan avrupalilar icin cennet kivaminda mobilya magazasi zinciri; zira amerikan mobilyalarinin hantal, kaba dizaynlarinin yaninda ikea'nin cizgileri, ozellikle ilk kez magazaya girmis insana 'nooluyo lan' tadinda edinimler yasatir.",Ekşi Sözlük
deepher,13.08.2004 00:06,IKEA Genel,"2005'te karşıda açılıyomuş. çok heyecanlıyım çok, tutmayın beeeeeniiiiiii",Ekşi Sözlük
wirr,15.08.2004 04:38,IKEA Genel,nisan 2005te ümraniyede 29000 metrekarelik * magaza acacak olan mobilya markası,Ekşi Sözlük
brown,15.08.2004 06:32,IKEA Genel,125$ a sattigi yemek masasini deliver etmek icin 400 kusur $*` :falan olmak` shipping&handling ucreti taleb eden hain mobilyaci.,Ekşi Sözlük
kiraze,15.08.2004 07:12,IKEA Genel,"dergilerde reklamlari hos gozuken,ucuzlugu ile un yapmis olan fakat yakindan bakinca cok basit hatta adi olarak niteleyebileceginiz dizayn cizgileri olan mobilyalarla dolu magaza, ayrica en onemli ozelliklerinden birisi kendin monte et masraftan kurtul olmasina ragmen bayagi kasmak gerekiyor mobilya haline getirebilmek icin,yine de yaraticilik ozelligi olan insanlara hitap edebilen bir marka,ayrintilarla ilginc dekorlar yapmak eglenceli........",Ekşi Sözlük
ikeaman,30.08.2004 01:24,IKEA Genel,"ikea ismi kurucusunun adı ve adresinin baş harflerinden gelmektedir.

ingvar kamprad,

elmtaryd farm,

agunnaryd, isvecte ingvar'ın büyüdügü yer",Ekşi Sözlük
darkfear,03.09.2004 18:29 ~ 18:31,IKEA Genel,"doğu almanya* yıkıldıktan sonra, eski doğu almanya sınırları içinde mağaza açan ilk şirketlerden biri.",Ekşi Sözlük
leeloominai,03.09.2004 18:35,IKEA Genel,"art decor gibi dergilerinin ürün sunumunun benzeri, ama daha ucuzlastırılmıs ""hazır zevk"" satan mağaza...
bazen gercekten cok işlevsel, hafif ürünlere de sahip olabilen firma...özellikle pratik ogrenci mobilyaları (bkz: çamasır sepeti)",Ekşi Sözlük
milena,09.09.2004 11:21,IKEA Genel,"ciddedeki magaza acilisi, acilis oncesinde ilk gelenlerin bazi firsatlar kazanacaginin duyurulmasiyla faciayla sonuclanmis mobilyaci. 16 yarali, 2 olu varmis.",Ekşi Sözlük
feminity,13.09.2004 17:29,IKEA Genel,kayseri - isvec arasinda yasanacak mobilya savaslarinda en az 15 markaya karsi tek basina carpisacak olan marka.,Ekşi Sözlük
seyyaltaner rt,23.09.2004 13:19 ~ 13:20,IKEA Genel,dunyanin en buyuk mobilya ureticisi olmasina ragmen sirket sahibinin halen taksi yerine otobus veya metroyu tercih ettigi pintilik abidesi isvecli dev sirket...,Ekşi Sözlük
ride,23.09.2004 15:19,IKEA Genel,"2005'de ilk magazalarini umraniye carrefourda aciyorlarmis; bununla ilgili haber;
ev eşyası mağazaları zinciri isveçli ikea, türkiye'deki ilk mağazasını 2005'in ilkbahar aylarında istanbul'da açacak. dünya genelinde franchise sistemiyle mağazalar açan ikea, türkiye'de maya holding a.ş.'nin ana hissedarı olduğu mapa mobilya ve aksesuar a.ş. ile ümraniye'de açacağı 30 bin metrekarelik ilk mağazasında 6 bin 500 çeşit ürünü tüketiciyle buluşturacak. ümraniye mağazası için toplam yatırım bedelinin 40 milyon euro civarında olacağı belirtiliyor.

ikea'nın türkiye faaliyetlerine ilişkin düzenlenen toplantıda konuşan mapa mobilya yönetim kurulu başkanı nuri özsüer, ekonominin iyi yönde gelişmesinin ikea'nın türkiye'de yatırım yapmasını hızlandırdığını belirterek, önümüzdeki 4 yıl içinde 2'si istanbul'da biri ankara, diğeri izmir'de olmak üzere 4 mağaza açılmasının ve bu mağazalarda 2 bin kişinin istihdam edilmesinin hedeflendiğini bildirdi.

ikea konsepti dahilinde türkiye'de de mobilyalar yassı koliler halinde satılacak ve müşteriler aldıkları ürünleri kendileri evde monte edebilecekler.

ucuz olacak, herkese ulaşabilecek

ikea'da fiyatları mümkün olduğunca düşük tutulmaya çalışılan ürünlerin hedef kitlesi olabildiğince geniş tutulmaya çalışılıyor. üretim ağırlıklı tasarım, tedarikçilerle yakın işbirliği, etkin dağıtım sistemi, yassı kolilerde paketleme, depolamadaki yer kazancı, nakliyatın müşteriye ait olması ve müşterilerin ürünleri kendilerinin monte etmesi ürün fiyatlarının düşük olmasını sağlıyor.

önümüzdeki 4 yıl içinde türkiye'de 4 mağaza açmayı hedefleyen ikea'nın, 2005'in ilkbaharında açılması planlanan istanbul ümraniye'deki mağazası ile faaliyet gösterdiği ülke sayısı 33'e, dünya genelindeki mağaza sayısı ise 213'e çıkacak.

2005 ilkbaharında açılması planlanan 30 bin metrekarelik mağaza, ikea'nın en büyük mağazalarından biri olacak. 450 kişinin çalışacağı mağazada her türlü mobilya, ev, mutfak, banyo aksesurlarını içeren 6 bin 500 çeşit ürün satılacak. çocuklar için çok büyük bir oyuncak, aksesuar ve mobilya bölümünün de bulunacağı mağazada 500 kişilik bir restoran ve isveç ürünlerinin satılacağı mini bir market yer alacak.",Ekşi Sözlük
coolblue,23.09.2004 23:58,IKEA Genel,türkiye'ye adamların ayaküstü hamburgercisi gelir ürünleri lüks tüketim malzemesi olur; tgi fridays gelir etiler restoranı olur; bu yüzden ikeanın da sadece ismi gelirse şaşmamak lazım,Ekşi Sözlük
lapse of reason,24.09.2004 00:15,IKEA Genel,"gutvik modelini, adını değiştirmeden almanya pazarına vererek inanılmaz bir pot kırmış olan mobilya markası. (bkz: #5822120)",Ekşi Sözlük
cornflake girl,24.09.2004 15:06,IKEA Genel,"bir zamanlar çalıştığım işyerinde bize porselen dolap kulpları yaptıran firma. bunların bir de kalite kontrol zamanları vardı. atıklarınızı ne yapıyorsunuz, yangın çıkışınız var mı, yangın çıkış tabelanız var mı, ruhsatınız var mı gibi çeşitli sorularına belgelerle cevap isterlerdi. senelerce bu firmaya mal verdik, gün gelipde artık bizden mal almayacaklarını söylediklerinde, elimizde ne kadar yarımamul ve mamul varsa beraberinde almışlardı. sıfır hata isterdi bunlar, birde koca koca afişlerini asmıştık ikeanın, üzerinde ""ikeanın müşterileri kusursuz iş isterler"" yazıyordu. hey gidi günler..bildiğim kadarıyla linens de bunlara iş yapıyor*.",Ekşi Sözlük
pacos bill,25.09.2004 21:45,IKEA Genel,yakında türkiye'de de açılacak olan mağaza. kısaca praktiker benzeri bir mağaza denilebilir. ancak uzun zaman önce gag daki ilginç reklamlarıyla da adını duyurmuştur.,Ekşi Sözlük
backpocket,03.10.2004 14:43 ~ 21.02.2005 13:24,IKEA Genel,"sade temiz iskandinav dizayni her turlu ev esyasi gereci satan, hem de oldukca makul fiyatlara satan muhtesem magaza. gungor uras'a katilmamak ne mumkun lakin, gavuristanda ogrenci evleri ordan duzuluyor da burda fiyatlari nasil olur bilmem.. bir an evvel gelse hatta bize de is verse... duz beyaz carsaflar serilse..",Ekşi Sözlük
dikine solucan,11.11.2004 14:33,IKEA Genel,"outsoucing nimetinden yararlanarak ,ikea etiketi tasiyan yemek takımlarının hatırı sayılır bir kısmını türkiyedeki porland porselene yaptırmıs kurulustur.",Ekşi Sözlük
super fly,29.11.2004 22:08,IKEA Genel,akatlar maya sitesi z blokta konuşlanmış isveçli dünya lideri mobilya perakendecisi.,Ekşi Sözlük
ekikiki,30.11.2004 08:05,IKEA Genel,(bkz: ikea umraniye),Ekşi Sözlük
leliel,30.11.2004 08:45 ~ 08:48,IKEA Genel,"pek cok buyuk sirketin yaptigi gibi, tekstil urunlerinin ciddi bir kismini** turkiye'de ureten sirket..",Ekşi Sözlük
pascha s,01.12.2004 05:30 ~ 06:06,IKEA Genel,"isin en guzel tarafi, biz isvec markasiyiz ayagina ozgun isim verdikleri hicbir seyin ne isvecce'de ne de bir baska dilde bir manasi olmamasidir.* adamin biri oturuyor isim salliyor mobilyalara, arayada isvec alfabesinden bir iki harf sokusturunca oluyor otantik yaratici esya ismi. yok oyle birsey.",Ekşi Sözlük
ssg,01.12.2004 05:46,IKEA Genel,(bkz: docent),Ekşi Sözlük
super fly,14.12.2004 23:25 ~ 23:26,IKEA Genel,(bkz: http://www.elitedesigners.org/),Ekşi Sözlük
tetrahydrocannabinol,21.12.2004 19:40 ~ 22.12.2004 18:22,IKEA Genel,isvecli mobilya magazasi. zevkli ve ucuz mobilya araniyorsa mutlaka ziyaret edilmesi gerekir. kurucusu ingvar kamprad reutersa gore bill gatesi gecip dunyanin en zengin is adami koltuguna oturmustur.,Ekşi Sözlük
200iq,27.02.2005 08:13,IKEA Genel,"stoklari her zaman cok yetersizdir. neyi begenirseniz ""kalmadi, ne zaman gelicegi de belli diil"" derler.",Ekşi Sözlük
super fly,27.02.2005 08:53 ~ 08:54,IKEA Genel,"yurtdışındaki pek çok mağazasının stoklarını internet sitelerinden sorgulayabileceğiniz kurum, kuruluş.",Ekşi Sözlük
vinyl,30.03.2005 12:05,IKEA Genel,5 mayis 2005'de ümraniye'de acilacak olan mobilyaci.,Ekşi Sözlük
freak,04.04.2005 13:24,IKEA Genel,http://www.ikea.com.tr/,Ekşi Sözlük
